2025-01-30 13:43:05,314 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:05,837 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:06,285 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:06,836 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:07,237 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:08,129 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:09,002 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:09,396 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:10,385 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:11,036 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:11,346 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:12,344 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:12,851 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:13,203 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:14,234 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:14,940 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:15,536 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:16,668 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:17,093 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:17,681 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:18,702 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:19,142 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
